
                             _AT:AT3 PI: PART-  _UT:UT3 PI: PART-  _VT:VT3 PI: PART-
                  X             1-1 N: 975_1       1-1 N: 975_1       1-1 N: 975_1  

               49.E-03            -1.0168           -32.4516E-06        -4.84936E-03
               49.5E-03         -543.898E-03        -34.984E-06         -5.24057E-03
               50.E-03           -83.1488E-03       -37.6526E-06        -5.39547E-03
               50.5E-03          307.088E-03        -40.3436E-06        -5.33575E-03
               51.E-03           598.547E-03        -42.9599E-06        -5.10513E-03
               51.5E-03          796.241E-03        -45.4285E-06        -4.75307E-03
               52.E-03           931.052E-03        -47.6995E-06        -4.31954E-03
               52.5E-03            1.04555          -49.7381E-06        -3.82548E-03
               53.E-03             1.17798          -51.515E-06         -3.271E-03  
               53.5E-03            1.34881          -52.9965E-06        -2.64105E-03
               54.E-03             1.55292          -54.1402E-06        -1.91659E-03
               54.5E-03            1.75962          -54.8956E-06        -1.08769E-03
               55.E-03             1.92089          -55.2121E-06      -164.622E-06  
               55.5E-03            1.986            -55.0503E-06       816.99E-06   
               56.E-03             1.91802          -54.395E-06          1.79895E-03
               56.5E-03            1.70617          -53.2631E-06         2.71076E-03
               57.E-03             1.36926          -51.7074E-06         3.48404E-03
               57.5E-03          949.5E-03          -49.8111E-06         4.06606E-03
               58.E-03           499.74E-03         -47.6781E-06         4.42846E-03
               58.5E-03           69.8944E-03       -45.4197E-06         4.56909E-03
               59.E-03          -302.621E-03        -43.1427E-06         4.50791E-03
               59.5E-03         -596.497E-03        -40.9397E-06         4.27957E-03
               60.E-03          -805.354E-03        -38.8841E-06         3.92555E-03
               60.5E-03         -934.43E-03         -37.0281E-06         3.48746E-03
               61.E-03          -997.243E-03        -35.4044E-06         3.0021E-03 
               61.5E-03           -1.01261          -34.0291E-06         2.49805E-03
               62.E-03            -1.0012           -32.9063E-06         1.99385E-03
               62.5E-03         -980.863E-03        -32.0338E-06         1.4982E-03 
               63.E-03          -961.478E-03        -31.4065E-06         1.01267E-03
               63.5E-03         -941.594E-03        -31.0195E-06       536.654E-06  
               64.E-03          -909.191E-03        -30.8678E-06        73.0472E-06 
               64.5E-03         -847.421E-03        -30.9427E-06      -367.705E-06  
               65.E-03          -743.482E-03        -31.2287E-06      -767.358E-06  
               65.5E-03         -596.767E-03        -31.6996E-06        -1.10405E-03
               66.E-03          -422.422E-03        -32.3191E-06        -1.35953E-03
               66.5E-03         -248.434E-03        -33.0443E-06        -1.52658E-03
               67.E-03          -107.375E-03        -33.8322E-06        -1.61356E-03
               67.5E-03          -26.1845E-03       -34.6484E-06        -1.64409E-03
               68.E-03           -17.9201E-03       -35.4726E-06        -1.65207E-03
               68.5E-03          -78.182E-03        -36.3027E-06        -1.6736E-03 
               69.E-03          -186.862E-03        -37.1535E-06        -1.73845E-03
               69.5E-03         -313.979E-03        -38.0513E-06        -1.86361E-03
               70.E-03          -427.378E-03        -39.0274E-06        -2.05018E-03
               70.5E-03         -500.003E-03        -40.1095E-06        -2.2842E-03 
               71.E-03          -515.072E-03        -41.3153E-06        -2.54058E-03
               71.5E-03         -468.284E-03        -42.6487E-06        -2.78896E-03
               72.E-03          -366.982E-03        -44.098E-06         -2.99979E-03
               72.5E-03         -226.835E-03        -45.6383E-06        -3.1495E-03 
               73.E-03           -67.0391E-03       -47.2348E-06        -3.22342E-03
               73.5E-03           94.6977E-03       -48.8481E-06        -3.2163E-03 
               74.E-03           246.168E-03        -50.438E-06         -3.13053E-03
               74.5E-03          382.748E-03        -51.9666E-06        -2.97271E-03
               75.E-03           507.145E-03        -53.3999E-06        -2.74988E-03
               75.5E-03          627.024E-03        -54.7064E-06        -2.46636E-03
               76.E-03           751.191E-03        -55.8562E-06        -2.12217E-03
               76.5E-03          885.347E-03        -56.8179E-06        -1.71351E-03
               77.E-03             1.02848          -57.5581E-06        -1.23531E-03
               77.5E-03            1.1709           -58.0411E-06      -685.131E-06  
               78.E-03             1.29461          -58.2319E-06       -67.5254E-06 
               78.5E-03            1.37628          -58.0999E-06       602.45E-06   
               79.E-03             1.39235          -57.6252E-06         1.29777E-03
               79.5E-03            1.32508          -56.8041E-06         1.98082E-03
               80.E-03             1.16786          -55.6537E-06         2.60775E-03
               80.5E-03          928.083E-03        -54.213E-06          3.13483E-03
               81.E-03           626.403E-03        -52.5417E-06         3.52545E-03
               81.5E-03          292.656E-03        -50.7144E-06         3.75586E-03
               82.E-03           -40.5182E-03       -48.8139E-06         3.81822E-03
               82.5E-03         -344.328E-03        -46.9229E-06         3.72029E-03
               83.E-03          -598.859E-03        -45.117E-06          3.48217E-03
               83.5E-03         -795.27E-03         -43.4596E-06         3.13117E-03
               84.E-03          -934.972E-03        -41.9998E-06         2.69639E-03
               84.5E-03           -1.02652          -40.7727E-06         2.20425E-03
               85.E-03            -1.08148          -39.8015E-06         1.67597E-03
               85.5E-03           -1.11042          -39.1002E-06         1.1271E-03 
               86.E-03            -1.12009          -38.676E-06        568.748E-06  
               86.5E-03           -1.11213          -38.5315E-06         9.93244E-06
               87.E-03            -1.08334          -38.6646E-06      -539.906E-06  
               87.5E-03           -1.02751          -39.068E-06         -1.06888E-03
               88.E-03          -938.097E-03        -39.7275E-06        -1.56177E-03
               88.5E-03         -811.314E-03        -40.6207E-06        -2.00068E-03
               89.E-03          -648.687E-03        -41.7161E-06        -2.36704E-03
               89.5E-03         -458.44E-03         -42.973E-06         -2.64469E-03
               90.E-03          -255.115E-03        -44.3442E-06        -2.82324E-03
               90.5E-03          -57.3845E-03       -45.7793E-06        -2.90069E-03
               91.E-03           115.484E-03        -47.2293E-06        -2.88474E-03
               91.5E-03          247.599E-03        -48.6512E-06        -2.79199E-03
               92.E-03           329.799E-03        -50.0123E-06        -2.64546E-03
               92.5E-03          361.457E-03        -51.292E-06         -2.47061E-03
               93.E-03           350.296E-03        -52.4821E-06        -2.29111E-03
               93.5E-03          310.298E-03        -53.5854E-06        -2.12507E-03
               94.E-03           258.335E-03        -54.6112E-06        -1.98274E-03
               94.5E-03          210.461E-03        -55.5724E-06        -1.86597E-03
               95.E-03           178.805E-03        -56.4806E-06        -1.76947E-03
               95.5E-03          169.803E-03        -57.3436E-06        -1.68328E-03
               96.E-03           184.028E-03        -58.1636E-06        -1.59569E-03
               96.5E-03          217.457E-03        -58.9372E-06        -1.49596E-03
               97.E-03           263.603E-03        -59.6562E-06        -1.37603E-03
               97.5E-03          315.806E-03        -60.3091E-06        -1.23127E-03
               98.E-03           369.E-03           -60.883E-06         -1.05999E-03
               98.5E-03          420.549E-03        -61.3647E-06      -862.462E-06  
               99.E-03           470.058E-03        -61.7413E-06      -639.691E-06  
               99.5E-03          518.375E-03        -62.0004E-06      -392.505E-06  
              100.E-03           566.194E-03        -62.1298E-06      -121.29E-06   
              100.5E-03          612.716E-03        -62.1177E-06       173.59E-06   
              101.E-03           654.765E-03        -61.9525E-06       490.801E-06  
              101.5E-03          686.625E-03        -61.6237E-06       826.777E-06  
              102.E-03           700.649E-03        -61.1237E-06         1.17457E-03
              102.5E-03          688.56E-03         -60.449E-06          1.52318E-03
              103.E-03           643.148E-03        -59.6029E-06         1.85768E-03
              103.5E-03          559.987E-03        -58.5967E-06         2.16014E-03
              104.E-03           438.738E-03        -57.4513E-06         2.41141E-03
              104.5E-03          283.664E-03        -56.1968E-06         2.59334E-03
              105.E-03           103.219E-03        -54.872E-06          2.69096E-03
              105.5E-03          -91.2457E-03       -53.5216E-06         2.69434E-03
              106.E-03          -287.295E-03        -52.194E-06          2.59959E-03
              106.5E-03         -473.281E-03        -50.938E-06          2.40887E-03
              107.E-03          -639.788E-03        -49.7999E-06         2.1297E-03 
              107.5E-03         -780.326E-03        -48.8212E-06         1.77357E-03
              108.E-03          -891.214E-03        -48.0369E-06         1.35447E-03
              108.5E-03         -970.832E-03        -47.4747E-06       887.716E-06  
              109.E-03            -1.01862          -47.1545E-06       389.093E-06  
              109.5E-03           -1.03421          -47.0882E-06      -125.393E-06  
              110.E-03            -1.01701          -47.2798E-06      -639.505E-06  
              110.5E-03         -966.306E-03        -47.7249E-06        -1.13666E-03
              111.E-03          -881.937E-03        -48.4108E-06        -1.60004E-03
              111.5E-03         -765.124E-03        -49.3165E-06        -2.01302E-03
              112.E-03          -619.294E-03        -50.4129E-06        -2.36015E-03
              112.5E-03         -450.53E-03         -51.6635E-06        -2.62832E-03
              113.E-03          -267.488E-03        -53.0264E-06        -2.80813E-03
              113.5E-03          -80.7105E-03       -54.4561E-06        -2.89502E-03
              114.E-03            98.5401E-03       -55.9061E-06        -2.88994E-03
              114.5E-03          259.718E-03        -57.3318E-06        -2.79934E-03
              115.E-03           394.388E-03        -58.693E-06         -2.63449E-03
              115.5E-03          497.286E-03        -59.9563E-06        -2.4101E-03 
              116.E-03           566.815E-03        -61.0959E-06        -2.14261E-03
              116.5E-03          604.882E-03        -62.0945E-06        -1.84837E-03
              117.E-03           616.116E-03        -62.9423E-06        -1.54204E-03
              117.5E-03          606.682E-03        -63.6365E-06        -1.23553E-03
              118.E-03           582.963E-03        -64.1793E-06      -937.557E-06  
              118.5E-03          550.437E-03        -64.5765E-06      -653.847E-06  
              119.E-03           512.993E-03        -64.8361E-06      -387.753E-06  
              119.5E-03          472.808E-03        -64.9675E-06      -141.126E-06  
              120.E-03           430.757E-03        -64.9806E-06        84.9251E-06 
              120.5E-03          387.164E-03        -64.8861E-06       289.552E-06  
              121.E-03           342.606E-03        -64.6948E-06       472.103E-06  
              121.5E-03          298.501E-03        -64.4177E-06       632.408E-06  
              122.E-03           257.258E-03        -64.0659E-06       771.258E-06  
              122.5E-03          221.937E-03        -63.6497E-06       890.835E-06  
              123.E-03           195.502E-03        -63.1777E-06       994.863E-06  
              123.5E-03          179.909E-03        -62.6566E-06         1.08834E-03
              124.E-03           175.277E-03        -62.0902E-06         1.17679E-03
              124.5E-03          179.428E-03        -61.4798E-06         1.26527E-03
              125.E-03           187.925E-03        -60.8243E-06         1.35714E-03
              125.5E-03          194.652E-03        -60.1219E-06         1.45309E-03
              126.E-03           192.81E-03         -59.371E-06          1.55054E-03
              126.5E-03          176.122E-03        -58.5721E-06         1.6436E-03 
              127.E-03           139.993E-03        -57.7296E-06         1.72359E-03
              127.5E-03           82.3725E-03       -56.8524E-06         1.78017E-03
              128.E-03             4.15524E-03      -55.9551E-06         1.8027E-03 
              128.5E-03          -90.956E-03        -55.057E-06          1.78168E-03
              129.E-03          -197.067E-03        -54.1818E-06         1.71008E-03
              129.5E-03         -307.038E-03        -53.356E-06          1.58415E-03
              130.E-03          -413.548E-03        -52.6068E-06         1.4038E-03 
              130.5E-03         -510.036E-03        -51.9607E-06         1.17246E-03
              131.E-03          -591.344E-03        -51.4418E-06       896.487E-06  
              131.5E-03         -653.963E-03        -51.0702E-06       584.418E-06  
              132.E-03          -695.9E-03          -50.8617E-06       246.153E-06  
              132.5E-03         -716.266E-03        -50.8267E-06      -107.708E-06  
              133.E-03          -714.778E-03        -50.9702E-06      -466.295E-06  
              133.5E-03         -691.342E-03        -51.2919E-06      -818.655E-06  
              134.E-03          -645.868E-03        -51.786E-06         -1.15379E-03
              134.5E-03         -578.368E-03        -52.441E-06         -1.46068E-03
              135.E-03          -489.298E-03        -53.2401E-06        -1.72839E-03
              135.5E-03         -380.022E-03        -54.1611E-06        -1.94643E-03
              136.E-03          -253.249E-03        -55.1767E-06        -2.10532E-03
              136.5E-03         -113.275E-03        -56.2553E-06        -2.19731E-03
              137.E-03            34.0683E-03       -57.362E-06         -2.21719E-03
              137.5E-03          181.786E-03        -58.4601E-06        -2.16301E-03
              138.E-03           322.355E-03        -59.5129E-06        -2.03644E-03
              138.5E-03          448.514E-03        -60.4854E-06        -1.8429E-03 
              139.E-03           554.039E-03        -61.3461E-06        -1.59122E-03
              139.5E-03          634.374E-03        -62.0688E-06        -1.29292E-03
              140.E-03           686.999E-03        -62.6335E-06      -961.32E-06   
              140.5E-03          711.49E-03         -63.0269E-06      -610.467E-06  
              141.E-03           709.301E-03        -63.243E-06       -254.135E-06  
              141.5E-03          683.335E-03        -63.2823E-06        95.0137E-06 
              142.E-03           637.413E-03        -63.151E-06        426.018E-06  
              142.5E-03          575.768E-03        -62.8608E-06       729.95E-06   
              143.E-03           502.641E-03        -62.4268E-06         1.00001E-03
              143.5E-03          422.03E-03         -61.8672E-06         1.23148E-03
              144.E-03           337.6E-03          -61.2022E-06         1.42155E-03
              144.5E-03          252.696E-03        -60.4527E-06         1.56914E-03
              145.E-03           170.392E-03        -59.64E-06           1.67481E-03
              145.5E-03           93.5164E-03       -58.7846E-06         1.74057E-03
              146.E-03            24.5836E-03       -57.9056E-06         1.76978E-03
              146.5E-03          -34.3588E-03       -57.0201E-06         1.76695E-03
              147.E-03           -81.9458E-03       -56.1431E-06         1.73744E-03
